algorithm,parameters,requested_k,n_records,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,base_id,dimension,seed,covariance
KMeans,"base_id=27,k=7,dimension=5,seed=44.0,covariance=None",7,2500,7,0.03718995332938471,3.245498260329707,90.79930406518999,0.0009314710672623894,0.006737090294835254,0.005420490939047259,0.4470230444530394,0.3968743782221792,0.0033973810513774926,0.006737090294835253,0.9984,27,5,44.0,
KMeans,"base_id=28,k=7,dimension=5,seed=45.0,covariance=None",7,2500,7,0.03774835091527343,3.23703795296529,90.91268794807701,0.0009264253392991818,0.006731793949441865,0.00541613413522828,0.4474754453146951,0.39610017327599717,0.0033947441192868034,0.006731793949441865,0.9984,28,5,45.0,
KMeans,"base_id=29,k=7,dimension=5,seed=46.0,covariance=None",7,2500,7,0.03815145373191152,3.2236604000284883,91.0015064667472,0.0009418598865484219,0.00675456944716027,0.00544049761797804,0.4490997494856584,0.39615230064220225,0.003406324381506063,0.00675456944716027,0.9984,29,5,46.0,
KMeans,"base_id=30,k=8,dimension=5,seed=42.0,covariance=None",8,2500,8,0.028508300836206226,3.443136561320712,81.17399493080084,0.0007903961476555443,0.006471551754854078,0.005059654156599968,0.4102170423228438,0.4190483341563143,0.003260956082595148,0.0064715517548540775,0.9984,30,5,42.0,
KMeans,"base_id=31,k=8,dimension=5,seed=43.0,covariance=None",8,2500,8,0.02873066728021269,3.4539424807780126,81.31569285649756,0.0007582293608992316,0.006411206518065165,0.004998982250214148,0.40879096324147385,0.41599665634753286,0.0032304969484123207,0.006411206518065165,0.9984,31,5,43.0,
KMeans,"base_id=32,k=8,dimension=5,seed=44.0,covariance=None",8,2500,8,0.027948821263261082,3.4559647177076114,81.13830325437674,0.0007965520304497277,0.0064822201020930245,0.0050706005499490505,0.41048608276474563,0.4195308810507868,0.0032663443832227916,0.006482220102093024,0.9984,32,5,44.0,
KMeans,"base_id=33,k=8,dimension=5,seed=45.0,covariance=None",8,2500,8,0.02868559691745231,3.456291373628591,81.30445322989095,0.0007626367884861583,0.006418877539480108,0.0050066664672690385,0.4090373721045513,0.41635460989278905,0.0032343706773034675,0.006418877539480107,0.9984,33,5,45.0,
KMeans,"base_id=34,k=8,dimension=5,seed=46.0,covariance=None",8,2500,8,0.028484254523139265,3.4503416465848025,81.3110689572351,0.000777962120356212,0.006448078323129091,0.005036035107517375,0.40966313270638094,0.41786739299446707,0.0032491075207199908,0.00644807832312909,0.9984,34,5,46.0,
KMeans,"base_id=35,k=2,dimension=10,seed=42.0,covariance=None",2,2500,2,0.04986294814746614,4.43446635126494,90.15682489286468,-5.8259516627734935e-06,7.766717891424649e-09,-0.0006820764881579168,0.7193133149412182,1.851241860359281e-07,3.9665657868162736e-09,7.766717891424649e-09,0.998,35,10,42.0,
KMeans,"base_id=36,k=2,dimension=10,seed=43.0,covariance=None",2,2500,2,0.8264262802538963,0.35393394286155666,153.01838364327142,0.4984469116037456,0.3709361204065082,0.3702454332044394,0.998397116931514,0.30463533358162126,0.4741245040436679,0.3709361204065082,0.9984,36,10,43.0,
KMeans,"base_id=37,k=2,dimension=10,seed=44.0,covariance=None",2,2500,2,0.8264262802538963,0.35393394286155666,153.01838364327142,0.4984469116037456,0.3709361204065082,0.3702454332044394,0.998397116931514,0.30463533358162126,0.4741245040436679,0.3709361204065082,0.9984,37,10,44.0,
KMeans,"base_id=38,k=2,dimension=10,seed=45.0,covariance=None",2,2500,2,0.1841193647140469,2.2911959115768257,110.23852241695785,0.014487789715560192,0.005386995036367228,0.004038421603016475,0.9234892160001964,0.05437291775993089,0.002833880843819312,0.005386995036367228,0.998,38,10,45.0,
KMeans,"base_id=39,k=2,dimension=10,seed=46.0,covariance=None",2,2500,2,0.1841193647140469,2.2911959115768257,110.23852241695785,0.014487789715560192,0.005386995036367228,0.004038421603016475,0.9234892160001964,0.05437291775993089,0.002833880843819312,0.005386995036367228,0.998,39,10,46.0,
KMeans,"base_id=40,k=3,dimension=10,seed=42.0,covariance=None",3,2500,3,0.04484040473728832,3.0782268580453676,127.0494700521545,0.002758265073800832,0.014368849442466922,0.013684517577778322,0.7103757032231249,0.35321909256582806,0.007333588846598644,0.014368849442466922,0.9984,40,10,42.0,
KMeans,"base_id=41,k=3,dimension=10,seed=43.0,covariance=None",3,2500,3,0.044057337166578864,3.0310829309907086,127.27189314430926,0.0026339199399941773,0.014395165223028018,0.013693476454910812,0.7196437883523835,0.34711273514297303,0.007349988866615491,0.014395165223028018,0.9984,41,10,43.0,
KMeans,"base_id=42,k=3,dimension=10,seed=44.0,covariance=None",3,2500,3,0.05178386518280017,3.1094836912362704,127.60710466838003,0.0031061472667209067,0.012440702427066599,0.01175998831747267,0.7077766661703173,0.3075028670161365,0.006348778079316166,0.0124407024270666,0.9984,42,10,44.0,
KMeans,"base_id=43,k=3,dimension=10,seed=45.0,covariance=None",3,2500,3,0.14915417571789197,1.5523129012008603,137.9509460718563,0.016136332343786162,0.030207241001797544,0.028841873479895478,0.9235227891017412,0.31140276283799034,0.015873515919548498,0.030207241001797544,0.9984,43,10,45.0,
KMeans,"base_id=44,k=3,dimension=10,seed=46.0,covariance=None",3,2500,3,0.14915417571789197,1.5523129012008603,137.9509460718563,0.016136332343786162,0.030207241001797544,0.028841873479895478,0.9235227891017412,0.31140276283799034,0.015873515919548498,0.030207241001797544,0.9984,44,10,46.0,
KMeans,"base_id=45,k=4,dimension=10,seed=42.0,covariance=None",4,2500,4,0.058437451340924595,2.727648130268301,127.24093698541873,0.0017391804683146068,0.011149144129370228,0.010193437102181103,0.6619361019086932,0.35770125473452313,0.005662823978651842,0.011149144129370228,0.9984,45,10,42.0,
