base_id,algorithm,dimension,k,seed,covariance,runtime_seconds,inertia,bic,converged
176,GMM,5,7,42.0,full,0.09166770800000101,,27818.777483423364,True
177,GMM,5,7,43.0,full,0.11546154200000025,,27850.603169174483,True
178,GMM,5,7,44.0,full,0.043083415999999986,,28510.753510726005,True
179,GMM,5,8,42.0,full,0.07683708300000092,,27873.072451368193,True
180,GMM,5,8,43.0,full,0.041948749999999535,,27896.474348568194,True
181,GMM,5,8,44.0,full,0.07860766699999999,,27862.761791279063,True
182,GMM,10,2,42.0,diag,0.011451375000000041,,60520.90954802951,True
183,GMM,10,2,43.0,diag,0.016868833000000194,,60521.00070322274,True
184,GMM,10,2,44.0,diag,0.005664499999999961,,60520.824473423745,True
185,GMM,10,3,42.0,diag,0.010326958000000275,,58429.52345148955,True
186,GMM,10,3,43.0,diag,0.02163166699999941,,58427.84954556985,True
187,GMM,10,3,44.0,diag,0.010766709000000318,,58429.52345148955,True
188,GMM,10,4,42.0,diag,0.020306208000000936,,57422.7526667353,True
189,GMM,10,4,43.0,diag,0.02189012499999876,,57881.94207579255,True
190,GMM,10,4,44.0,diag,0.012109875000000159,,57265.178913222946,True
191,GMM,10,5,42.0,diag,0.012233500000000674,,57926.345468296866,True
192,GMM,10,5,43.0,diag,0.015881542000000692,,57926.23360348212,True
193,GMM,10,5,44.0,diag,0.01610229099999927,,57926.762624247,True
194,GMM,10,6,42.0,diag,0.02570620799999901,,56382.40869164477,True
195,GMM,10,6,43.0,diag,0.04139141699999982,,55981.03046369627,True
196,GMM,10,6,44.0,diag,0.020594250000000258,,56326.363616087016,True
197,GMM,10,7,42.0,diag,0.028641833000000005,,55578.71532586182,True
198,GMM,10,7,43.0,diag,0.024156167000001005,,55582.91380548499,True
199,GMM,10,7,44.0,diag,0.019841167000000937,,55790.96091578914,True
200,GMM,10,8,42.0,diag,0.025003625000000085,,55187.5586259423,True
201,GMM,10,8,43.0,diag,0.02095658300000025,,55081.252424316146,True
202,GMM,10,8,44.0,diag,0.025456208999999674,,55230.15403270589,True
