sorted_position,k_distance,min_samples
368,2.1844685855494514,20
369,2.185529148775887,20
370,2.1856727785457255,20
371,2.1856911582912404,20
372,2.186469354259984,20
373,2.186966990124783,20
374,2.1874588690784047,20
375,2.1877858329261977,20
376,2.1877912716565464,20
377,2.1891644216316983,20
378,2.1896969894911704,20
379,2.189879222965732,20
380,2.1899055722935628,20
381,2.19005544654513,20
382,2.1908249021654953,20
383,2.190969251401638,20
384,2.1915010142893645,20
385,2.1915654255923247,20
386,2.192210706365028,20
387,2.192870499197557,20
388,2.1929036522827685,20
389,2.193346110666231,20
390,2.19517433882164,20
391,2.1957203382164177,20
392,2.196280005404901,20
393,2.196341223386825,20
394,2.196343450096418,20
395,2.197053238697621,20
396,2.1973599175383884,20
397,2.198181844001108,20
398,2.198337536233475,20
399,2.198448849899087,20
400,2.199149407435305,20
401,2.1994887930030123,20
402,2.200140123259824,20
403,2.2008794103149185,20
404,2.202228681094084,20
405,2.2023187181823785,20
406,2.2027658252512543,20
407,2.203063232031881,20
408,2.203434588123238,20
409,2.2045094692973524,20
410,2.2047792329510165,20
411,2.2049893721229767,20
412,2.2051094230413,20
413,2.2058600328792783,20
414,2.2058600328792783,20
415,2.2059319710586656,20
416,2.205982882390793,20
417,2.2066915632362516,20
418,2.2076432466165024,20
419,2.2081746859563522,20
420,2.2085533574836194,20
421,2.208690272676941,20
422,2.2092520827546798,20
423,2.209897624967857,20
424,2.21168705609918,20
425,2.2118054289713864,20
426,2.212180411199434,20
427,2.212923071351557,20
428,2.2147583168362597,20
429,2.2157064214235183,20
430,2.2164809521496087,20
431,2.2165185418044673,20
432,2.217057256126866,20
433,2.217684355436772,20
434,2.217801508878895,20
435,2.218231235438563,20
436,2.219760751534776,20
437,2.220223264051495,20
438,2.22045182943337,20
439,2.220629056987722,20
440,2.22117717058546,20
441,2.221297653207769,20
442,2.2216997032685133,20
443,2.22198204115297,20
444,2.2226277556070784,20
445,2.2232264620843956,20
446,2.2236297018512174,20
447,2.2240425737769165,20
448,2.2252133139874997,20
449,2.226002331383225,20
450,2.2260725823951573,20
451,2.227372348328911,20
452,2.2276196931036445,20
453,2.2278266765348085,20
454,2.2281582534419058,20
455,2.229106963963712,20
456,2.229346280697402,20
457,2.2307894144551317,20
458,2.2310661558117735,20
459,2.2312867044323235,20
460,2.231588868431416,20
461,2.231844965928343,20
462,2.232320117271868,20
463,2.2325760074256182,20
464,2.2334908254372676,20
465,2.2336312928468534,20
466,2.2336724350558197,20
467,2.234037661662416,20
468,2.2342562127824066,20
469,2.2343964260532427,20
470,2.234447417341135,20
471,2.235664741532546,20
472,2.2368536742198293,20
473,2.237468227298755,20
474,2.238187948718803,20
475,2.238650175756861,20
476,2.2408318273395555,20
477,2.241609009877404,20
478,2.2416671372850465,20
479,2.2428277792219378,20
480,2.2429797541570187,20
481,2.2430346987568157,20
482,2.243047674781858,20
483,2.2430750103003407,20
484,2.243181001786106,20
485,2.243188173995738,20
486,2.2447054876812627,20
487,2.244922309582988,20
488,2.2450118445806346,20
489,2.24522976870458,20
490,2.2456908452004933,20
491,2.246066282604889,20
492,2.24608167815724,20
493,2.2463481218772356,20
494,2.2478409853100842,20
495,2.2486978102434962,20
496,2.24905050675746,20
497,2.249729457525056,20
498,2.25007158913145,20
499,2.2502743095156927,20
500,2.2518827174211884,20
501,2.2520212040838192,20
502,2.2522586765849923,20
503,2.2525444282426648,20
504,2.2540819988145238,20
505,2.2544935867881852,20
506,2.2545007902104413,20
507,2.2547520718586638,20
508,2.255164692426754,20
509,2.2556542078323347,20
510,2.2557848440187978,20
511,2.2560747150011693,20
512,2.256858057629854,20
513,2.25834753722342,20
514,2.258704556923987,20
515,2.258758914009059,20
516,2.2588726067203058,20
517,2.259052041783155,20
518,2.2592504054560174,20
519,2.2593909782117803,20
520,2.2594639014841227,20
521,2.2596549865325635,20
522,2.2596549865325635,20
523,2.260567579843315,20
524,2.2609645673903964,20
525,2.2631214783391944,20
526,2.2631543829101295,20
527,2.264566750928897,20
528,2.2645802751572237,20
529,2.264740634638824,20
530,2.265231853204827,20
531,2.2654801655600254,20
532,2.265754145830957,20
533,2.2658114602537465,20
534,2.266429515741886,20
535,2.26657917947334,20
536,2.2673104484289013,20
537,2.2689309380501155,20
538,2.269830748079092,20
539,2.2701412736689313,20
540,2.272647574287701,20
541,2.2727505626864652,20
