algorithm,pair_id,pairwise_ari
GMM,105,0.6368759107264562
GMM,106,0.5801486875988653
GMM,107,0.715389659664778
GMM,108,0.7504799055153542
GMM,109,0.6083734350739366
GMM,110,0.5394773948185827
GMM,111,0.34141095345973754
GMM,112,0.47469912471947184
GMM,113,0.7255147816473003
GMM,114,0.5719564079293753
GMM,115,0.4696135549228125
GMM,116,0.43532140152017396
GMM,117,0.6250369109362751
GMM,118,0.6189997970122311
GMM,119,0.7562374823413693
GMM,120,0.7366697857562589
GMM,121,0.5791915116900687
GMM,122,0.5276709554607535
GMM,123,0.3420472268191085
GMM,124,0.44679981167560406
GMM,125,0.40307643002602334
GMM,126,0.4367871089125495
GMM,127,0.7650504521812916
GMM,128,0.5005804002915065
GMM,129,0.3429438842108122
GMM,130,0.45293700893498234
GMM,131,0.40357822538340915
GMM,132,0.404914036709588
GMM,133,0.460217313404555
GMM,134,0.43708097239359917
GMM,135,0.620389052486835
GMM,136,0.5060402730416674
GMM,137,0.4354684065246839
GMM,138,0.6884575132025028
GMM,139,0.632798479992967
GMM,140,0.8915697571280561
GMM,141,0.6964812426900997
GMM,142,0.6854523216744495
GMM,143,0.6694557771457734
GMM,144,0.40587100763154715
GMM,145,0.5887917530413249
GMM,146,0.3338260340534453
GMM,147,0.43918577238668033
GMM,148,0.6850934471194338
GMM,149,0.6421060394795709
GMM,150,0.47448481293455924
GMM,151,0.6949874587343553
GMM,152,0.5399287595703897
GMM,153,0.3366742971189399
GMM,154,0.34182481554996297
GMM,155,0.555288534408195
GMM,156,0.5897972413282854
GMM,157,0.5339287609558283
GMM,158,0.3770471573976504
GMM,159,0.4563330434335307
GMM,160,0.4387658567672853
GMM,161,0.3133820517181826
GMM,162,0.5192607261556744
GMM,163,0.32104059351533726
GMM,164,0.40870025751426453
GMM,165,0.4202262964792412
GMM,166,0.4047810517420984
GMM,167,0.442607151293903
GMM,168,0.4413707900130462
GMM,169,0.49000018331950146
GMM,170,0.6705086098095884
GMM,171,0.6316601660186602
GMM,172,0.5105467265180876
GMM,173,0.5250535907389486
GMM,174,0.3487851553077484
GMM,175,0.6690551788060838
GMM,176,0.5373879396960196
GMM,177,0.5141503106139248
GMM,178,0.456526844642662
GMM,179,0.31364500546796475
GMM,180,0.667197720795768
GMM,181,0.6203417608990612
GMM,182,0.6256951019157392
GMM,183,0.3647318785640113
GMM,184,0.5391688480846241
GMM,185,0.5008990863365442
GMM,186,0.2997491149200784
GMM,187,0.6151355892165506
GMM,188,0.4282724034761102
GMM,189,0.49780437912667747
