reference_cluster,matched_bootstrap_cluster,jaccard,reference_cluster_size,k,bootstrap_run,seed
5,3,0.004424778761061947,1,7,6,1747
6,4,1.0,85,7,6,1747
0,2,0.9888268156424581,179,7,7,1748
1,0,0.9473684210526315,19,7,7,1748
2,6,0.6867088607594937,609,7,7,1748
3,3,0.991304347826087,114,7,7,1748
4,5,0.7550200803212851,493,7,7,1748
5,3,0.008695652173913044,1,7,7,1748
6,4,0.9659090909090909,85,7,7,1748
0,3,0.45689655172413796,179,7,8,1749
1,0,0.1111111111111111,19,7,8,1749
2,1,0.7819314641744548,609,7,8,1749
3,5,0.9827586206896551,114,7,8,1749
4,4,0.8035363457760314,493,7,8,1749
5,6,1.0,1,7,8,1749
6,2,0.9882352941176471,85,7,8,1749
0,2,0.23547400611620795,179,7,9,1750
1,2,0.025210084033613446,19,7,9,1750
2,0,0.644916540212443,609,7,9,1750
3,6,0.9655172413793104,114,7,9,1750
4,3,0.7288801571709234,493,7,9,1750
5,5,1.0,1,7,9,1750
6,4,0.9770114942528736,85,7,9,1750
0,0,0.988950276243094,179,7,10,1751
1,5,0.05263157894736842,19,7,10,1751
2,3,0.9582664526484751,609,7,10,1751
3,2,0.9827586206896551,114,7,10,1751
4,1,0.9416342412451362,493,7,10,1751
5,4,1.0,1,7,10,1751
6,6,1.0,85,7,10,1751
0,3,0.8984771573604061,179,7,11,1752
1,6,0.10526315789473684,19,7,11,1752
2,4,0.7454545454545455,609,7,11,1752
3,2,0.9827586206896551,114,7,11,1752
4,1,0.7537878787878788,493,7,11,1752
5,5,1.0,1,7,11,1752
6,3,0.06060606060606061,85,7,11,1752
0,0,0.2302839116719243,179,7,12,1753
1,3,0.06896551724137931,19,7,12,1753
2,1,0.35669456066945604,609,7,12,1753
3,2,0.9741379310344828,114,7,12,1753
4,1,0.39928909952606634,493,7,12,1753
5,3,0.08333333333333333,1,7,12,1753
6,4,0.9767441860465116,85,7,12,1753
0,4,0.9030612244897959,179,7,13,1754
1,5,0.15,19,7,13,1754
2,1,0.7465648854961832,609,7,13,1754
3,6,0.9741379310344828,114,7,13,1754
4,3,0.7741935483870968,493,7,13,1754
5,2,1.0,1,7,13,1754
6,4,0.060836501901140684,85,7,13,1754
0,3,0.9086294416243654,179,7,14,1755
1,1,0.05263157894736842,19,7,14,1755
2,2,0.9089529590288316,609,7,14,1755
3,4,0.9827586206896551,114,7,14,1755
4,0,0.8985239852398524,493,7,14,1755
5,5,1.0,1,7,14,1755
6,3,0.06015037593984962,85,7,14,1755
0,0,0.23076923076923078,179,7,15,1756
1,6,0.05263157894736842,19,7,15,1756
2,2,0.6145833333333334,609,7,15,1756
3,4,0.9827586206896551,114,7,15,1756
4,3,0.6846011131725418,493,7,15,1756
5,5,1.0,1,7,15,1756
6,0,0.08256880733944955,85,7,15,1756
0,5,0.9834254143646409,179,7,16,1757
1,0,0.017488076311605722,19,7,16,1757
2,1,0.5490196078431373,609,7,16,1757
3,2,0.9655172413793104,114,7,16,1757
4,0,0.5450762829403606,493,7,16,1757
5,3,1.0,1,7,16,1757
6,4,0.9770114942528736,85,7,16,1757
0,4,0.22629969418960244,179,7,17,1758
1,5,0.05263157894736842,19,7,17,1758
2,2,0.5834564254062038,609,7,17,1758
3,0,0.9827586206896551,114,7,17,1758
4,6,0.6814814814814815,493,7,17,1758
5,3,1.0,1,7,17,1758
6,1,0.07624633431085044,85,7,17,1758
0,4,0.9834254143646409,179,7,18,1759
