algorithm,source_experiment,parameters,selected_k,n_clusters,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,ami,fowlkes_mallows,homogeneity,completeness,v_measure,purity,runtime_seconds
GMM,GMM grid search,"k=2,covariance=tied",2,2.0,0.0,0.1807099228063333,2.221314555862618,284.36391756604394,0.0036781537324972,0.0005055702711922,-0.0001459688576425,0.9201063227034392,0.0052223315543302,0.0002656435173062,0.0005055702711922,0.998,0.0767409169999986
GMM,GMM grid search,"k=3,covariance=tied",3,3.0,0.0,0.0454586666308158,4.1081158476147825,201.9853967661192,-0.0007775364203947,0.001344753255729,0.0009751574930636,0.6281294594600764,0.0467391242647523,0.0006821904383219,0.001344753255729,0.998,0.6153340830000005
GMM,GMM grid search,"k=4,covariance=tied",4,4.0,0.0,0.0671319148259708,3.297551535209223,241.04064731555707,-0.0002540764982478,0.0006185461539166,0.0001440628718311,0.5903836280908548,0.0256380759421141,0.0003130494037211,0.0006185461539166,0.998,0.5293598339999974
GMM,GMM grid search,"k=5,covariance=tied",5,5.0,0.0,0.0897622636871072,2.672262854038427,198.83319141318916,0.002750261080672,0.0043436920011401,0.0036542338062748,0.6959887946625706,0.1592034742196132,0.002201883994213,0.0043436920011401,0.998,0.3688965840000016
GMM,GMM grid search,"k=6,covariance=tied",6,6.0,0.0,0.069191870461352,2.499436800787494,252.46290965816863,0.0006656039822932,0.006837407486253,0.0063049758565262,0.5860554155703942,0.293603983666924,0.0034589798566714,0.006837407486253,0.9985,0.5799727089999998
GMM,GMM grid search,"k=7,covariance=tied",7,7.0,0.0,0.0730131077925351,2.4070088964296383,246.9110106562097,0.0004100448475864,0.0061995598085283,0.0055926357599407,0.554243324128827,0.2992675959169132,0.0031322231169813,0.0061995598085283,0.9985,0.6144156249999995
GMM,GMM grid search,"k=8,covariance=tied",8,8.0,0.0,0.0619468956711369,2.6513972830598913,209.24338210710977,0.0008133524328915,0.0055670039848856,0.0049422692821421,0.4402908053716366,0.3410701779371249,0.0028064052987001,0.0055670039848856,0.9985,0.7362837500000019
GMM,GMM grid search,"k=2,covariance=full",2,2.0,0.0,0.1322423060471661,6.0430998375598115,130.23029036102795,0.0043767441853764,0.0052145954742632,0.0049338877795808,0.7569563615479622,0.1142494902880731,0.0026681887079619,0.0052145954742632,0.998,0.2395550419999992
GMM,GMM grid search,"k=3,covariance=full",3,3.0,0.0,-0.0005270739308161,5.8282791628555985,121.58621311968577,0.0029197042089614,0.0058412675739269,0.0054798852715522,0.6282611560618382,0.2059086148642013,0.0029626564804859,0.0058412675739269,0.998,0.8889369170000023
GMM,GMM grid search,"k=4,covariance=full",4,4.0,0.0,0.0177348323615008,4.990747079733479,145.6634357315195,1.1434013034651582e-05,0.0015569186453285,0.0011231563534678,0.5447463893143366,0.0698815742625481,0.0007872288103721,0.0015569186453285,0.998,1.0239731250000048
GMM,GMM grid search,"k=5,covariance=full",5,5.0,0.0,0.0335900527794904,4.592478789439105,171.03600989152184,0.0008996144525623,0.0032109207762819,0.0026882645783814,0.5174119385480165,0.161211874549995,0.0016216095076574,0.0032109207762819,0.998,1.1082365000000038
GMM,GMM grid search,"k=6,covariance=full",6,6.0,0.0,0.0376657362812332,4.226036706983501,152.22588511307822,0.0022328517505561,0.0062503265502698,0.0056918719741268,0.5465879511018044,0.3011912897215641,0.0031579299823508,0.0062503265502698,0.998,0.9879549999999996
GMM,GMM grid search,"k=7,covariance=full",7,7.0,0.0,0.0325779510301541,4.173295317557278,140.94600265389786,0.0014523901622721,0.0060565250747841,0.0054235431567997,0.4494731156848152,0.3685225002691724,0.003053352875484,0.0060565250747841,0.998,0.869678540999999
GMM,GMM grid search,"k=8,covariance=full",8,8.0,0.0,0.0361752746535297,4.147336611969541,134.7119948854929,0.0014262658432302,0.0051390207385563,0.0044224929609562,0.459179628025137,0.3193680304024034,0.002590351323766,0.0051390207385563,0.998,1.0744912079999978
Hierarchical,Distance metric sensitivity,"requested_k=2,actual_k=2,distance_metric=euclidean",2,,,0.888051300150003,0.0772997295242234,131.0198649816935,-0.0006660407488544,8.921005051453154e-05,-0.0005634833113243,0.9976003252636496,5.551739820660463e-05,0.000226930930671,8.921005051453154e-05,0.998,0.0971306250000001
Hierarchical,Distance metric sensitivity,"requested_k=3,actual_k=3,distance_metric=euclidean",3,,,0.8276845265686655,0.2763584892826678,150.4702635318288,0.4426829252673004,0.3228905149941717,0.3219515321805602,0.9979962365211328,0.3046686707151164,0.3434306646499093,0.3228905149941717,0.9984,0.0929920409999995
Hierarchical,Distance metric sensitivity,"requested_k=4,actual_k=4,distance_metric=euclidean",4,,,0.8267093559405927,0.2472580110689867,121.8777309060763,0.3980441281884174,0.2858725867243027,0.2847232774211727,0.9975953561114688,0.3047020212155512,0.2692348872066176,0.2858725867243028,0.9984,0.0929812919999997
Hierarchical,Distance metric sensitivity,"requested_k=5,actual_k=5,distance_metric=euclidean",5,,,0.8000107628740032,0.2310086617194824,103.84345168701331,0.3615032393833945,0.2564765075417735,0.2551483710957988,0.9971944757025226,0.3047353850936997,0.2214128544397689,0.2564765075417735,0.9984,0.0940307919999998
Hierarchical,Distance metric sensitivity,"requested_k=6,actual_k=6,distance_metric=euclidean",6,,,0.7964326461808207,0.2216763867230596,93.04271282133688,0.3310399793163001,0.2325680336438065,0.2310867381865003,0.9967935952942948,0.3047687623602166,0.188024424936193,0.2325680336438064,0.9984,0.0935174169999992
Hierarchical,Distance metric sensitivity,"requested_k=7,actual_k=7,distance_metric=euclidean",7,,,0.7533427937309111,0.2389373159497705,88.65480134323116,0.2831545239092842,0.1984873579836592,0.1968227500313677,0.9959919958315984,0.3048355571014824,0.1471507651588239,0.1984873579836592,0.9984,0.0931970419999999
